original,ocr,visionOcr,Tessaract%,Vision%
"(ආ) (අ) උප වගන්තියේ නිශ්චිතව දක්වා ඇති අරමුණ මුදුන්‌ පමුණුවා ගැනීම සඳහා පාර්ලිමේන්තුව විසින්‌ -

(i) මහජන නියෝජිතයන්‌ වශයෙන්‌ සෑම පාර්ලිමේන්තු මන්ත්‍රීවරයකුගෙන්‌ ම (මෙහි මින්මතු ""මන්ත්‍රීවරයා"" යනුවෙන්‌ හඳුන්වනු ලබන) අපේක්ෂා කරනු ලබන චර්යා ධර්මවලට අදාළ චන්නා වූ අවශ්‍ය විශිෂ්ටතා මට්ටම සහ මූලධර්ම ස්ථාපනය කිරීම,
(ii) සෑම මන්ත්‍රීවරයකු විසින්‌ ම පිළිපැදිය යුතු (ආ) උප වගන්තිය යටතේ ස්ථාපනය කරන ලද අවශ්‍ය විශිෂ්ටතා මට්ටම සහ මූලධර්ම ශක්තිමත්‌ කරනු 2 පාර්ලිමේන්තු මන්ත්‍රීවරයන්‌ සඳහා වන චර්යා ධර්ම සංග්‍රහය ලබන චර්යා ධර්ම පිළිබඳ රිති නිශ්චිත වශයෙන්‌ දැක්වීම,
(iii)  මන්ත්‍රීවරයන්ගෙන්‌ අපේක්ෂා කරනු ලබන අවශ්‍ය විශිෂ්ටතා මට්ටම සම්බන්ධයෙන්‌ මහජන විශ්වාසය ඇති කිරීම පිණිස සහ එම රිති ආරක්ෂා කිරීම පිණිස පාර්ලිමේන්තුවේ කැපවීම සහතික කිරීම 'සඳහා අවශ්‍ය වන්නා වූ පියවර ගැනීම..","(ආ) (අ) උප වගන්තියේ නිශ්චිතව දක්වා ඇති අරමුණ
මුදුන්‌ පමුණුවා ගැනීම සඳහා පාර්ලිමේන්තුව විසින්‌ -

() මහජන නියෝජිතයන්‌ වශයෙන්‌ සෑම පාර්ලිමේන්තු
මන්ත්‍රීවරයකුගෙන්‌ ම (මෙහි මින්මතු ""මන්ත්‍රීවරයා”
යනුවෙන්‌ හඳුන්වනු ලබන) අපේක්ෂා කරනු ලබන
චර්යා ධර්මවලට අදාළ චන්නා වූ අවශ්‍ය විශිෂ්ටතා
6066 සහ මූලධර්ම ස්ථාපනය කිරීම,

(i) සෑම මන්ත්‍රීවරයකු විසින්‌ ම පිළිපැදිය යුතු (අ)
'උප වගන්තිය යටතේ ස්ථාපනය කරන ලද අවශ්‍ය
විශිෂ්ටතා මට්ටම සහ මූලධර්ම ශක්තිමත්‌ කරනු

2 පාර්ලිමේන්තු මන්ත්‍රීවරයන්‌ සඳහා වන
චර්යා ධර්ම සංග්‍රහය
ලබන චර්යා ධර්ම පිළිබඳ 88 නිශ්චිත වශයෙන්‌
දැක්වීම,

(111) මන්ත්‍රීවරයන්ගෙන්‌ අපේක්ෂා කරනු ලබන අවශ්‍ය
විශිෂ්ටතා මට්ටම සම්බන්ධයෙන්‌ මහජන විශ්වාසය
ඇති කිරීම පිණිස සහ එම රිති ආරක්ෂා කිරීම
පිණිස පාර්ලිමේන්තුවේ කැපවීම සහතික කිරීම
'සඳහා අවශ්‍ය චන්නා වූ පියවර ගැනීම.","(ආ) (අ) උප වගන්තියේ නිශ්චිතව දක්වා ඇති අරමුණ
මුදුන් පමුණුවා ගැනීම සඳහා පාර්ලිමේන්තුව විසින් -
2
(i) මහජන නියෝජිතයන් වශයෙන් සෑම පාර්ලිමේන්තු
මන්ත්‍රීවරයකුගෙන් ම (මෙහි මින්මතු මන්ත්‍රීවරයා ""
යනුවෙන් හඳුන්වනු ලබන) අපේක්ෂා කරනු ලබන
චර්යා ධර්මවලට අදාළ වන්නා වූ අවශ්‍ය විශිෂ්ටතා
මට්ටම සහ මූලධර්ම ස්ථාපනය කිරීම;
(ii) සෑම මන්ත්‍රීවරයකු විසින් ම පිළිපැදිය යුතු (අ)
උප වගන්තිය යටතේ ස්ථාපනය කරන ලද අවශ්‍ය
විශිෂ්ටතා මට්ටම සහ මූලධර්ම ශක්තිමත් කරනු
පාර්ලිමේන්තු මන්ත්‍රීවරයන් සඳහා වන
චර්යා ධර්ම සංග්‍රහය
ලබන චර්යා ධර්ම පිළිබඳ රීති නිශ්චිත වශයෙන්
දැක්වීම;
(iii) මන්ත්‍රීවරයන්ගෙන් අපේක්ෂා කරනු ලබන අවශ්‍ය
විශිෂ්ටතා මට්ටම සම්බන්ධයෙන් මහජන විශ්වාසය
ඇති කිරීම පිණිස සහ එම රිති ආරක්ෂා කිරීම
පිණිස පාර්ලිමේන්තුවේ කැපවීම සහතික කිරීම
සඳහා අවශ්‍ය වන්නා වූ පියවර ගැනීම.",18.19,90.29
original,ocr,visionOcr,Tessaract%,Vision%
"ජනාධිපති කාර්යාලය


මගේ අංකය : පීඑස්‌/සීඑස්‌ඒ/00/1/4/8 චක්‍රලේඛ අංකය : පීඑස්‌/සීඑස්ඒ/චක්‍රලේඛ/4/2023
2023 පෙබරවාරි මස 22 වන දින

අග්‍රාමාත්‍ය ලේකම්‌

අමාත්‍ය මණ්ඩලයේ ලේකම්‌
සියළුම අමාත්‍යාංශ ලේකම්වරු
සියළුම පළාන්‌ ප්‍රධාන ලේකම්වරුන්‌
පාර්ලිමේන්තු මහලේකම්‌
රාජකාරි විදේශ සංචාර සඳහා ගුවන්‌ ටිකට්පත් මිලදී ගැනීම

වර්තමානයේ රටේ පචන්නා ආර්ථික හා මුල්‍ය දුෂ්කරතා මත රජයේ අරමුදල්‌ අත්‍යාවශ්‍ය කාර්යයන්‌ සඳහා
පමණක්‌ ඉතා අරපිරිමැස්මෙන්‌ යුතුව වැය කළ යුතුය.","| ණී —
7 - - |
(5. )","ජනාධිපති කාර්යාලය
சனாதிபதி அலுவலகம்
PRESIDENTIAL SECRETARIAT
මගේ අංකය : පීඑස්/සීඑන්ඒ/00/1/4/8
2023 පෙබරවාරි මස 22 වන දින
අග්‍රාමාත්‍ය ලේකම්
අමාත්‍ය මණ්ඩලයේ ලේකම්
සියළුම අමාත්‍යාංශ ලේකම්වරු
සියළුම පළාත් ප්‍රධාන ලේකම්වරුන්
පාර්ලිමේන්තු මහලේකම්
රාජකාරි විදේශ සංචාර සඳහා ගුවන් ටිකට්පත් මිලදී ගැනීම
වර්තමානයේ රටේ පවත්නා ආර්ථික හා මුල්‍ය දුෂ්කරතා මත රජයේ අරමුදල් අත්‍යාවශ්‍ය කාර්යයන් සඳහා
පමණක් ඉතා අරපිරිමැස්මෙන් යුතුව වැය කළ යුතුය.",3.0,86.5
02.,"௧௯6866 කාර්යාලය ரி ரி ர
ப்பத்‌ .",02.,5.71,100.0
"ඒ අනුව, රාජකාරි විදේශ සංචාර සඳහා ගුවන්‌ ටිකට්පත්‌ මිලදී ගැනීමට රජයේ අරමුදල්‌ භාචිතා
කරනු ලබන අවස්ථාවලදී, ගරු අගවිනිසුරුතුමන්‌, ගරු ශ්‍රේෂ්ඨාධිකරණ විනිසුරුතුමන්ලා,
ගරු අභියාචනාධිකරණයේ සභාපතිතුමා සහ ගරු අභියාචනාධිකරණ විනිසුරුතුමන්ලා හැර, අනිකුත්‌
සියළුම නිලධාරීන්‌ පිරිමැසුම්‌ පංතියේ (Economy Class) ගුවන්‌ ටිකට්පත් පමණක්‌ මිලදී ගත යුතු බව ගරු
ජනාධිපතිතුමාගේ නියමය පරිදි කාරුණිකව දන්වමි.","7 2
ස சனாதிபதி அலுவலகம்‌ .","ඒ අනුව, රාජකාරි විදේශ සංචාර සඳහා ගුවන් ටිකට්පත් මිලදී ගැනීමට රජයේ අරමුදල් භාවිතා
කරනු ලබන අවස්ථාවලදී, ගරු අගවිනිසුරුතුමන්, ගරු ශ්‍රේෂ්ඨාධිකරණ විනිසුරුතුමන්ලා,
ගරු අභියාචනාධිකරණයේ සභාපතිතුමා සහ ගරු අභියාචනාධිකරණ විනිසුරුතුමන්ලා හැර, අනිකුත්
සියළුම නිලධාරීන් පිරිමැසුම් පංතියේ (Economy Class) ගුවන් ටිකට්පත් පමණක් මිලදී ගත යුතු බව ගරු
ජනාධිපතිතුමාගේ නියමය පරිදි කාරුණිකව දන්වමි.",2.92,92.25
03.,"வரிய
PRESIDENTIAL SECRETARIAT “2 பய B0C |
මගේ අංකය : පීඑස්‌/සීඑස්‌ඒ/00/ | /4/8 චක්‍රලේඛ අංකය : පීඑුස්‌/සීඑස්ඒ/වක්‍රලේඛ/4/2023 ॥
2023 පෙබරවාරි මස 22 වචන දින
අග්‍රාමානා ලේකම්‌
අමාත්‍ය මණ්ඩලයේ ලේකම්‌
සියළුම අමාත්‍යාංශ ලේකම්වරු
සියළුම පළාන්‌ ප්‍රධාන ලේකම්වරුන්‌
පාර්ලිමේන්තු මහලේකම්‌
රාජකාරි විදේශ සංචාර සඳහා ගුවන්‌ ටිකට්පන්‌ මිලදී ගැනීම
චර්තමානයේ රටේ පචන්නා ආර්ථික හා මුල්‍ය දුෂ්කරනා මන රජයේ අරමුදල්‌ අන්‍යාවශ්‍ය කාර්යයන්‌ සඳහා
පමණක්‌ ඉනා අරපිරිමැස්මෙන්‌ යුතුව වැය කළ යුතුය.",03.,1.27,100.0
"යම්‌ නිලධාරියෙකුට ව්‍යාපාරික පංතියේ (Business Class) ගමන්‌ කිරීමට අවශ්‍ය වන්නේ නම්‌,
පිරිමැසුම්‌ පංතියේ ගුවන්‌ ටිකට්පතක්‌ මිලදී ගැනීමට යන මුදල සහ ව්‍යාපාරික පංතියේ ගුවන්‌ ටිකට්‌ පතක්‌
මිලදී ගැනීමට යන මුදල අතර වෙනස සිය පෞද්ගලික මුදලින්‌ වැයකර ව්‍යාපාරික පංතියේ ගමන්‌ කිරීමට
හැකියාව ඇත.",02.,"යම් නිලධාරියෙකුට ව්‍යාපාරික පංතියේ (Business Class) ගමන් කිරීමට අවශ්‍ය වන්නේ නම්,
පිරිමැසුම් පංතියේ ගුවන් ටිකට්පතක් මිලදී ගැනීමට යන මුදල සහ ව්‍යාපාරික පංතියේ ගුවන් ටිකට් පතක්
මිලදී ගැනීමට යන මුදල අතර වෙනස සිය පෞද්ගලික මුදලින් වැයකර ව්‍යාපාරික පංතියේ ගමන් කිරීමට
හැකියාව ඇත.",0.7,75.4
04.,"ඒ අනුව, රාජකාරි විදේශ සංචාර සඳහා ගුවන්‌ ටිකට්පත්‌ මිලදී ගැනීමට රජයේ අරමුදල්‌ 8
කරනු ලබන අවස්ථාවලදී, ගරු අගචිනිසුරුතුමන්‌, ගරු ශ්‍රේෂ්ඨාධිකරණ චිනිසුරුතුමන්ලා,
ගරු අභියාචනාධිකරණයේ සභාපතිතුමා සහ ගරු අභියාචනාධිකරණ චිනිසුරුනුමන්ලා හැර, අනිකුත්‌
සියළුම නිලධාරීන්‌ පිරිමැසුම්‌ පංනියේ (Economy Class) ගුවන්‌ ටිකට්පන්‌ පමණක්‌ මිලදී ගත යුතු බව ගරු
ජනාධිපනිතුමාගේ නියමය පරිදි කාරුණිකව දන්වමි.","LC0000B BT
චක්‍රලේඛ අංකය : පීඑස්/සීඑඵ්/චක්‍රලේඛ/4/2023
04.",0.52,9.84
"යම්‌ නිලධාරියෙකුට ඉහත විධිවිධාන  වලට පරිබාහිරව සුවිශේෂි හේතුවක්‌ මත රජයේ අරමුදල්‌
භාවිතා කර ව්‍යාපාරික පංතියේ ගමන්‌ කිරීමට අවශ්‍ය වන්නේ නම්‌, ඒ පිළිබඳ ප්‍රමාණවත්‌ කරුණු ඉදිරිපත්
කර මාගේ පුර්ව අනුමැතිය ලබා ගැනීමට කටයුතු කළ යුතුය.",03.,"යම් නිලධාරියෙකුට ඉහත විධිවිධාන වලට පරිබාහිරව සුවිශේෂි හේතුවක් මත රජයේ අරමුදල්
භාවිතා කර ව්‍යාපාරික පංතියේ ගමන් කිරීමට අවශ්‍ය වන්නේ නම්, ඒ පිළිබඳ ප්‍රමාණවත් කරුණු ඉදිරිපත්
කර මාගේ පුර්ව අනුමැතිය ලබා ගැනීමට කටයුතු කළ යුතුය.",0.87,98.44
05.,"යම්‌ නිලධාරියෙකුට ව්‍යාපාරික පංතියේ (Business Class) ගමන්‌ කිරීමට අවශා වන්නේ නම්‌,
පිරිමැසුම්‌ පංතියේ ගුවන්‌ ටිකට්පතක්‌ මිලදී ගැනීමට යන මුදල සහ ව්‍යාපාරික පංතියේ ගුචන්‌ ටිකට්‌ පතක්‌
මිලදී ගැනීමට යන මුදල අතර වෙනස සිය පෞද්ගලික මුදලින්‌ වැයකර ව්‍යාපාරික පංතියේ ගමන්‌ කිරීමට
හැකියාව ඇත.",05.,0.7,100.0
"මෙම චක්‍රලේඛයෙහි සඳහන්‌ විධිවිධාන 2023 මාර්තු මස 01 වන දින සිට බලාත්මක වන අතර, ඒ
අනුව මෙම කරුණට අදාලව මින්‌ පෙර නිකුන්‌ කර ඇති චක්‍රලේඛ හෝ උපදෙස්‌ ලිපි වල සඳහන්‌ විධිවිධාන
එදින සිට බලරහිත වේ.",04.,"මෙම චක්‍රලේඛයෙහි සඳහන් විධිවිධාන 2023 මාර්තු මස 01 වන දින සිට බලාත්මක වන අතර, ඒ
අනුව මෙම කරුණට අදාලව මින් පෙර නිකුත් කර ඇති චක්‍රලේඛ හෝ උපදෙස් ලිපි වල සඳහන් විධිවිධාන
එදින සිට බලරහිත වේ.",2.06,98.14
ඊ.එම්‌.එස්‌.බී.,"යම්‌ නිලධාරියෙකුට ඉහන 888 වලට පරිබාහිරව සුවිශේෂි හේතුවක්‌ මන රජයේ අරමුදල්‌
லை කර ව්‍යාපාරික පංතියේ ගමන්‌ කිරීමට අවශාං චන්නේ නම්‌, ඒ පිළිබඳ ප්‍රමාණවත්‌ කරුණු ඉඳිරිපත්‌
6 මාගේ පුර්ව අනුමැතිය ලබා ගැනීමට කටයුතු කළ යුතුය.","62
ඊ.එම්.එස්.බී.",0.87,83.87
"ඒකනායක
ජනාධිපති ලේකම්‌

පිටපත : විගණකාධිපති
06.",05.,"ඒකනායක
ජනාධිපති ලේකම්
පිටපත : විගණකාධිපති
ගාලු මුවදොර, කොළඹ 01
காலி முகத்திடல், கொழும்பு 01
Galle Face, Colombo 01
06.",8.0,54.55
"මේ පිළිබඳව ඔබ අමාත්‍යාංශය / පළාත්‌ සභාව / ආයතනය යටතේ ඇති සියළුම පළාත්
අමාත්‍යාංශ, දෙපාර්තමේන්තු, රාජ්‍ය සංස්ථා, ව්‍යවස්ථාපිත ආයතන සහ අනෙකුත්‌ ආයතන ප්‍රධානීන්‌
දැනුවත්‌ කරන මෙන්‌ වැඩිදුරටත් දන්වා සිටිමි.","මෙම චක්‍රලේඛයෙහි සඳහන්‌ විධිවිධාන 2023 මාර්තු මස 01 වන දින සිට බලාන්මක වන අනර, ඒ
අනුව මෙම කරුණට අදාලව මින්‌ පෙර නිකුන්‌ කර ඇති චක්‍රලේඛ හෝ උපදෙස්‌ ලිපි වල සඳහන්‌ 888௯
එදින සිට බලරහින 68.","මේ පිළිබඳව ඔබ අමාත්‍යාංශය / පළාත් සභාව / ආයතනය යටතේ ඇති සියළුම පළාත්
අමාත්‍යාංශ, දෙපාර්තමේන්තු, රාජ්‍ය සංස්ථා, ව්‍යවස්ථාපිත ආයතන සහ අනෙකුත් ආයතන ප්‍රධානීන්
දැනුවත් කරන මෙන් වැඩිදුරටත් දන්වා සිටිමි.",23.2,98.75
"දුරකථන
தொலைபேசி
Telephones
++ 94 (0) 11 2354418
++ 94 (0) 11 2473873",06.,"දුරකථන
தொலைபேசி
Telephones
++ 94 (0) 11 2354418
++ 94 (0) 11 2473873
ಇವಟಿ
தொலைநகல் ++ 94 11 2446657
Fax
ඉ-තැපැල්
மின்-அஞ்சல் prsec@presidentsoffice.lk
e-mail",2.82,60.44
original,ocr,visionOcr,Tessaract%,Vision%
"2.13 ශ්‍රී ලංකා රජය වෙනුවෙන් විදෙස් රජයන්, දූත මණ්ඩල, කලාපීය සහ ජාත්‍යන්තර සංවිධානවල නේවාසික නියෝජිතයන් සහ අනෙකුත් සියලුම රාජ්‍යතාන්ත්‍රික නිලධාරීන් සමඟ සිදු කරනු ලබන ලිපි ගනුදෙනු, රාජ්‍යතාන්ත්‍රික පරිචයට අනුකූලව, විදේශ කටයුතු අමාත්‍යාංශය මඟින් සිදු කළ යුතු ය.","213 ශ්‍රී ලංකා රජය වෙනුවෙන්‌ විදෙස්‌ රජයන්‌, දුත මණ්ඩල, කලාපිය සහ ජාත්‍යන්තර
සංවිධානවල නේවාසික නියෝජිතයන්‌ සහ අනෙකුත්‌ සියලුම රාජ්‍යතාන්ත්‍රික නිලධාරීන්‌
සමඟ සිදු කරනු ලබන ලිපි ගනුදෙනු, රාජ්‍යතෘන්ත්‍රික පරිචයට අනුකූලව, විදේශ කටයුතු
අමාත්‍යාංශය මගින්‌ සිදු කළ යුතු ය.","2.1.3 ශ්‍රී ලංකා රජය වෙනුවෙන් විදෙස් රජයන්, දූත මණ්ඩල, කලාපීය සහ ජාත්‍යන්තර
සංවිධානවල නේවාසික නියෝජිතයන් සහ අනෙකුත් සියලුම රාජ්‍යතාන්ත්‍රික නිලධාරීන්
සමඟ සිදු කරනු ලබන ලිපි ගනුදෙනු, රාජ්‍යතාන්ත්‍රික පරිචයට අනුකූලව, විදේශ කටයුතු
අමාත්‍යාංශය මඟින් සිදු කළ යුතු ය.",55.51,98.66
"විදේශ කටයුතු අමාත්‍යාංශයට, එවැනි ලිපි ගනුදෙනු සම්බන්ධයෙන් අදාළ ආයතන සඳහා අවශ්‍ය උපදෙස් හෝ යෝජනා ලබා දීම සිදු කළ හැකි ය.","විදේශ කටයුතු අමාත්‍යාංශයට, එවැනි ලිපි ගනුදෙනු
සම්බන්ධයෙන්‌ අදාළ ආයතන සඳහා අවශ්‍ය උපදෙස්‌ හෝ යෝජනා ලබා දීම සිදු කළ හැකි ය.","විදේශ කටයුතු අමාත්‍යාංශයට, එවැනි ලිපි ගනුදෙනු
සම්බන්ධයෙන් අදාළ ආයතන සඳහා අවශ්‍ය උපදෙස් හෝ යෝජනා ලබා දීම සිදු කළ හැකි ය.",98.33,99.16
2.1.4 නගර සභා ඇතුළුව පළාත් සභා සහ පළාත් පාලන අධිකාරි විසින් විදෙස් රජයන්/ ශ්‍රී ලංකාවේ පිහිටි විදේශීය දූත මණ්ඩල සමඟ ඍජුව තොරතුරු හුවමාරු කර ගැනීම හෝ ලිපි ගනුදෙනු කිරීම සිදු නොකළ යුතු ය.,"214 නගර සභා ඇතුළුව පළාත්‌ සභා සහ පළාත්‌ පාලන අධිකාරි විසින්‌ විදෙස්‌ රජයන්‌/
ශ්‍රී ලංකාවේ 888 විදේශීය දුත මණ්ඩල සමඟ සෘජුව තොරතුරු හුවමාරු කර ගැනීම හෝ
ලිපි ගනුදෙනු කිරීම සිදු නොකළ යුතු ය.","2.1.4 නගර සභා ඇතුළුව පළාත් සභා සහ පළාත් පාලන අධිකාරි විසින් විදෙස් රජයන්
ශ්‍රී ලංකාවේ පිහිටි විදේශීය දූත මණ්ඩල සමඟ ඍජුව තොරතුරු හුවමාරු කර ගැනීම හෝ
ලිපි ගනුදෙනු කිරීම සිදු නොකළ යුතු ය.",93.26,98.64
"2.1.5 විශේෂ විධි ක්‍රියා සහ අවස්ථානුගත කරුණු සැලකිල්ලට ගෙන, ආරක්‍ෂාව සහ විදේශ අරමුදල් ආදි විශේෂ ක්‍ෂේත්‍රයන්හි දී රේඛීය අමාත්‍යාංශ/ ආයතන සහ ශ්‍රී ලංකාවේ පිහිටි විදේශීය දූත මණ්ඩල සහ අදාළ අස්ථිත්ව අතර මෙන්ම එතෙර පිහිටි ශ්‍රී ලංකා දූත මණ්ඩල සමඟ පහත අවස්ථාවන්හිදී ඍජු අන්තර් ක්‍රියා පැවැත්වීම යෝග්‍ය වනු ඇත.","215 විශේෂ වියි ක්‍රියා සහ අවස්ථානුගත කරුණු සැලකිල්ලට ගෙන, ආරක්ෂාව සහ විදේශ
අරමුදල්‌ ආදි විශේෂ ක්ෂේත්‍රයන්ගි 8 රේඛීය අමාත්‍යාංශ/ ආයතන සහ ශ්‍රී ලංකාවේ පිහිටි
විදේශීය දුත මණ්ඩල සහ අදාළ අස්ථින්ව අතර මෙන්ම එතෙර පිහිටි ශ්‍රී ලංකා දුත මණ්ඩල
580 පහත අවස්ථාවන්ගිදි සෘජු අන්තර්‌ ක්‍රිය) පැවැත්වීම යෝග්‍ය වනු ඇත.","2.1.5 විශේෂ විධි ක්‍රියා සහ අවස්ථානුගත කරුණු සැලකිල්ලට ගෙන, ආරක්ෂාව සහ විදේශ
අරමුදල් ආදි විශේෂ ක්ෂේත්‍රයන්හි දී රේඛීය අමාත්‍යාංශ/ ආයතන සහ ශ්‍රී ලංකාවේ පිහිටි
විදේශීය දූත මණ්ඩල සහ අදාළ අස්ථීත්ව අතර මෙන්ම එතෙර පිහිටි ශ්‍රී ලංකා දූත මණ්ඩල
සමඟ පහත අවස්ථාවන්හිදී ඍජු අන්තර් ක්‍රියා පැවැත්වීම යෝග්‍ය වනු ඇත.",84.11,98.34
